福利措施,名稱,地址,電話
友善老人餐廳,耐斯王子大飯店17樓紅檜軒餐廳,嘉義市東區忠孝路600號17樓,05-2771999
友善老人餐廳,嘉義兆品酒店,嘉義市西區文化路257號,05-2771999
友善老人餐廳,真北平餐廳,嘉義市東區吳鳳南路405號,05-2293998
友善老人餐廳,大北京麵食餐館,嘉義市東區大雅路二段531號,05-2286659
友善老人餐廳,鑫皇爵餐廳,嘉義市西區新榮路234號一樓,05-2788388
友善老人餐廳,小原餐廳有限公司,嘉義市西區博愛路一段372號,05-2233411
友善老人餐廳,馨園日本料理有限公司,嘉義市西區博愛路二段882號,05-2322141
友善老人餐廳,挺益嘉義館-Numeal新食煮藝,嘉義市西區仁愛路16號,05-2859977
友善老人餐廳,東園軒有限公司,嘉義市東區大雅路二段350號,05-2358811
友善老人餐廳,聖善園素食餐廳有限公司,嘉義市西區中興路590號 ,05-2719080
友善老人餐廳,田原日式涮涮屋,嘉義市東區興業東路50號,05-2868755
長青活力站,中埔鄉中埔社區活動中心,嘉義縣中埔鄉中埔村 128 號（嘉檳文化館）,05-2239218
長青活力站,水上鄉柳鄉社區活動中心,嘉義縣水上鄉柳鄉村 97 號,05-2780040 轉 3215
長青活力站,梅山鄉老人文康活動中心,嘉義縣梅山鄉梅南村梅子山 9 號,05-2780040 轉 3215
長青活力站,竹崎鄉紫雲社區活動中心,嘉義縣竹崎鄉紫雲村大竹圍 3 之 2 號,05-2780040 轉 3215
長青活力站,水上鄉塗溝社區集會所,嘉義縣水上鄉塗溝村下塗溝 1 之 6 號,05-2780040 轉 3215
長青活力站,中埔鄉隆興社區活動中心,嘉義縣中埔鄉隆興村中正路 515 號,05-2780040 轉 3215
長青活力站,番路鄉老人文康活動中心,嘉義縣番路鄉下坑村菜公店 101 號,05-2780040 轉 3225
長青活力站,阿里山鄉達邦村衛生室,嘉義縣阿里山鄉達邦村 85 號,05-2780040 轉 3225
長青活力站,民雄北斗社區活動中心,民雄鄉 3 鄰北勢子 19 之 4,05-2212120
長青活力站,新港月眉社區活動中心,新港鄉月眉村 15 鄰 122 號之 9,05-2212120
長青活力站,新港溪北社區活動中心,新港鄉溪北村 9 鄰 65 號,05-2212120
長青活力站,大林老人體育活動中心,大林鎮平林里 18 鄰新興街 116 號,05-2212120
長青活力站,大林大美社區活動中心,大林鎮大美里 33 號,05-2212120
長青活力站,太保東勢社區活動中心,太保市東勢里 82 號,05-2212120
長青活力站,溪口老人文康活動中心,溪口鄉溪北村 7 鄰中山路 91 號,05-2212120
長青活力站,民雄西昌社區活動中心,民雄鄉西昌林 1 號之 2,05-2212120
長青活力站,太保崙頂社區活動中心,太保市崙頂里 4 鄰 21 號,05-2212120
長青活力站,新港大潭社區活動中心,新港鄉大潭村 17 鄰 33 附 1,05-2212120
長青活力站,六腳鄉老人文康活動中心,嘉義縣六腳鄉蒜頭村蒜頭 188-5 號,05-2780040 轉 3215
長青活力站,義竹鄉北華社區活動中心,嘉義縣義竹鄉北華村北港子 48-1 號,05-2780040 轉 3215
長青活力站,義竹鄉岸腳社區活動中心,嘉義縣義竹鄉岸腳村岸腳 50 號,05-2780040 轉 3215
長青活力站,朴子市高明寺活動中心,嘉義縣朴子市文化里一五鄰山通路 73 號,05-2780040 轉 3215
長青活力站,鹿草鄉後堀社區活動中心,嘉義縣鹿草鄉後堀村 65 之 2 號,05-2780040 轉 3215
長青活力站,布袋鎮龍江社區活動中心,嘉義縣布袋鎮龍江里 300 之 1 號,05-2780040 轉 3215
長青活力站,東石鄉三家社區活動中心,嘉義縣布袋鎮龍江里 300 之 1 號,05-2780040 轉 3215
長青活力站,鹿草鄉下潭光潭社區活動,嘉義縣東石鄉三家村 73-3 號,05-2780040 轉 3215
